,video_id,title,date_pub,view_count,like_count,dislike_count,comment_count
0,yGz2xdQa1ho,Every Reference in The Cabin in the Woods,2014-10-31,3483022,74082,1647,5560
1,VXJiBkFgprQ,WTF Happened to Movie Posters?,2013-11-25,1691643,62435,1440,3747
2,O-NeJRrgoTY,WTF Happened to PG-13?,2014-09-04,1285240,36627,553,5693
3,LqQhaV-fWyg,WTF Happened to Movie Trailers?,2014-04-22,1178244,35624,657,4764
4,aR3hfLz5LhE,Exploring Event Horizon,2015-08-17,912137,18516,358,2455
5,y2jy001_F6w,House of the Dead 2 - Good Bad Flicks,2013-02-25,906317,7987,397,789
6,8nKIo6HvB_o,The Fly 2 - Good Bad Flicks,2013-10-23,882278,13217,496,1738
7,hAkmHSzUIHQ,Exploring Blair Witch 2 Book of Shadows,2013-08-26,772454,13231,294,2231
8,mjycmKCQdw8,Exploring Galaxy of Terror - The 2 Million Dollar Alien Ripoff That Changed Cinematic History,2019-11-28,763898,17209,335,1655
9,ZEBwGOHntro,The Rise and Fall of G4 TV 4 Gamers,2014-12-02,702726,18777,317,3725
10,LcFG4t5Xpo8,Exploring Mortal Kombat - From the Arcade to the Big Screen the Story behind the Hit Movie,2019-06-17,641944,13634,198,1992
11,NxPK3sYb90w,Exploring The Thing,2016-10-31,627990,15549,151,2307
12,yOXZQtBsEAo,Exploring Pandorum,2015-10-12,584638,13203,189,1286
13,uK21fcjY9a0,Exploring Demolition Man,2016-03-14,578339,10756,251,1464
14,N-EvK6J8Z7Q,Exploring Spawn,2015-08-03,537345,9261,136,918
15,34yKiPq0kCs,WTF Happened to Movie Remakes?,2015-09-07,504319,13425,194,2005
16,CfEnsMWYisI,Exploring Silent Hill,2014-03-05,484020,13708,611,1965
17,yFdw8IK9qAQ,The Wraith - Good Bad Flicks,2013-08-05,451635,6711,175,1084
18,33PSQjs3lrk,Exploring Gremlins 2 The New Batch,2014-01-20,442638,7358,147,1035
19,gsavwK1gOJE,Exploring In the Mouth of Madness,2015-02-10,428899,10842,141,1064
20,7_PvXr2kJ94,Exploring 30 Days of Night,2017-01-02,412482,9776,135,810
21,0PvnNmr7ylc,Exploring Dolemite - The Life of Rudy Ray Moore &amp; His Legendary Character,2019-09-30,393130,9174,159,890
22,8TFfL1aUDaQ,Exploring Nothing but Trouble - The Untold Story Behind Dan Aykroyd&#39;s Notorious Production,2018-11-12,383379,9781,139,1980
23,XQMWs7IfsyA,Exploring The Black Hole - The Movie That Changed Disney Forever,2020-06-15,378235,12530,206,2333
24,hBCuFgR_dLk,Exploring Blade,2016-08-08,372393,7915,72,794
25,osHvUN6WN0g,Exploring Leviathan,2015-06-08,369654,6280,60,530
26,z1PGnRodNl4,Exploring They Live,2014-02-03,368946,11009,198,1248
27,AcAvCwPH3KM,Exploring Waterworld,2016-01-18,359681,6208,77,599
28,lkMcIkFq8Gk,Exploring Dredd,2015-02-02,357175,9690,91,1203
29,ZJBIb-CcjZA,Exploring Sinister,2015-08-31,345434,6986,126,609
30,0cwDonoxba4,Exploring The Mummy,2017-06-05,342765,7976,70,906
31,EtDGkNH301U,Exploring The Crow City of Angels,2015-09-14,342487,8135,82,1226
32,fResqNIMtfQ,Exploring Sleepaway Camp,2015-02-23,341903,7174,101,735
33,jAKLgXQ6W4M,Exploring The Relic,2015-07-06,340893,6202,80,581
34,iAhAvJXeq-Q,Exploring Halloween 3 Season of the Witch,2013-11-01,340056,5920,89,1250
35,Lju_G-99O60,Exploring The Evil Dead,2016-03-07,338797,9145,53,562
36,qG2teHAFmKI,Exploring The Mask,2017-11-21,336859,9245,87,1138
37,Z7MSxzzTLvE,Exploring Species - How a non genre director made one of the most memorable sci-fi films of the 90s,2020-11-25,333429,12363,154,1379
38,4pKBMOjLhEs,Exploring John Carpenter&#39;s Christine,2017-01-30,313223,7130,72,681
39,vr0LFo0KFzI,Solo - Good Bad Flicks,2013-04-07,308770,2206,84,258
40,wzPcakjCvRg,Exploring The Crazies (2010),2017-03-13,308406,6477,74,457
41,vGIgXK4ubWM,Exploring Ghostbusters 2,2016-01-11,307533,5424,118,706
42,zjCZAcneUII,Dungeons &amp; Dragons Wrath of the Dragon God - Good Bad Flicks,2015-11-09,305950,5247,162,597
43,xf5bVu_cMH0,Krull - Good Bad Flicks,2013-02-06,302814,5293,105,973
44,OhncbBoopCQ,Exploring Jurassic Park 3,2015-06-22,300099,5833,346,1086
45,zJtS3ACtbuU,Exploring The Blair Witch Project,2016-09-19,297865,7709,108,933
46,08uHvlfFCzM,Phantasm - Good Bad Flicks,2014-01-28,296135,5730,117,825
47,JO4ahDytFIs,Exploring Chernobyl Diaries,2013-05-20,292307,6214,175,1011
